SPECIES;ACCESION.NUMBER;PLM ;PLS;FTWM;FTWS;STWM;STWS;LLM;LLS;FTLM;FTLS;STLM;STLS;MLWM;MLWS;WMPM;WMPS;DLBMWM;DLBMWS;DLAUM;DLAUS;TLWM;TLWS;NTM;NTS
V.sennenii;SALA110642;0;0;52;20;56;14;1925;1829;127;26;124;14;698;248;553;204;542;1239;362;303;260;218;800;67
V.sennenii;SALA93495(1);0;0;0.56;0.49;0.52;0.45;21.22;24.24;0.56;0.35;0.71;0.51;5.93;2.6;5.38;2.58;12.6;15.55;2.65;3.98;2.39;2.09;7;5
V.sennenii;SALA93495(2);0;0;0.57;0;0.43;0;21.71;16.69;0.33;0;0.31;0;3.22;2.02;3.17;1.63;10.93;11.84;4.24;;2.44;;4;0
V.sennenii;SALA93495(3);0;0;0.81;0;1.3;0;24.13;15.3;1.61;0;1.63;0;4.74;1.8;3.43;1.72;15.63;10.56;4.61;;2.9;;6;0
V.sennenii;SALA93495;0;0;65;16;75;15;2235;1874;83;12;88;17;463;214;399;198;1305;1265;383;398;258;209;567;167
V.sennenii;SALA93480(1);0;0;0.68;0.34;0.77;0.56;12.19;10.24;0.8;0.38;0.73;0.32;6.24;2.07;5.44;1.77;3.61;6.96;0.81;1.57;1.2;1.49;6;4
V.sennenii;SALA93480(2);0;0;0.56;0.35;1.16;0.44;23.33;20.31;0.86;0.42;1.47;0.43;8.87;2.98;6.12;3;5.25;8.99;3.01;2.2;1.95;1.35;8;9
V.sennenii;SALA93480(3);0;0;0.66;0.92;0.62;0.52;13.97;17.05;0.72;0.34;1.07;0.49;6.07;2.34;4.24;2.24;6.96;8.74;2.54;6.46;2.18;2.09;5;4
V.sennenii;SALA93480;0;0;63;54;85;51;1650;1587;79;38;109;41;706;246;527;234;527;823;212;341;178;164;633;567
V.sennenii;SALA93478(1);0;0;0.61;0;0.86;0;28.13;20.44;0.5;0;0.84;0;8.57;1.87;6.6;1.7;3.71;14.01;3.71;;2.26;;9;0
V.sennenii;SALA93478(2);0;0;0.59;0;0.52;0;25.78;24.52;0.53;0;0.54;0;5.83;2.8;5.45;2.52;8.94;16.54;4.52;;2.54;;5;0
V.sennenii;SALA93478(3);0;0;0.58;0;0.56;0;23.47;20.35;0.23;0;0.42;0;6.43;1.47;4.58;1.12;2.72;16.49;3.31;;2.32;;6;0
V.sennenii;SALA93478;0;0;59;0;65;0;2579;2177;42;0;60;0;694;205;554;178;512;1568;385;;237;;667;0
V.sennenii;SALA93475(1);0;0;0.5;0.41;1;0.56;22.23;11.76;0.63;0.2;0.66;0.23;9.01;2.63;8.3;2.38;5.16;4.47;5.6;3.02;5.18;1.8;6;3
V.sennenii;SALA93475(2);0;0;0.38;0;0.59;0;17.31;12.6;0.53;0;0.37;0;2.48;1.96;2.46;1.78;7.13;8.6;3.4;;2.28;;3;0
V.sennenii;SALA93475(3);0;0;0.51;0.49;0.71;0;17.04;12.35;0.68;0.35;0.94;0;6.69;3.17;6.18;3.17;6.56;6.28;5.86;5.71;4.21;3.18;4;1
V.sennenii;SALA93475;0;0;46;30;77;19;1886;1224;61;18;66;8;606;259;565;244;628;645;495;437;389;249;433;133
V.sennenii;SALA93477(1);0;0;0.8;0.45;0.83;0.56;21.04;12.85;1.88;0.63;1.91;0.45;6.7;1.79;5.35;1.38;6.91;9.21;4.41;2.46;2.91;1.32;4;2
V.sennenii;SALA93477(2);0;0;0.81;0.75;0.81;0.67;19.13;14.87;1.92;0.46;1.82;0.43;5.83;1.91;4.53;1.71;5.35;11.46;2.12;3.1;1.92;1.42;5;3
V.sennenii;SALA93477(3);0;0;0.84;0.43;0.87;0;23.05;12.25;1.67;0.32;1.08;0;5.55;1.29;4.88;0.85;8.26;7.07;5.65;4.32;2.99;1.31;5;1
V.sennenii;SALA93477;0;0;82;54;84;41;2107;1332;182;47;160;29;603;166;492;131;684;925;406;329;261;135;467;200
